,TOTAL_BICYCLES,TOTAL_VEHICLES,TOTAL_PEDESTRIANS,LATITUDE,LONGITUDE,XCOORD,YCOORD,FATAL_BICYCLIST,MPDLATITUDE,MPDLONGITUDE,FROMDATE,STREETSEGID,ROUTEID,NEARESTINTSTREETNAME,NEARESTINTROUTEID,OFFINTERSECTION
37959,1,0,1,38.923301,-77.041738,396380.64,139492.684,0,38.923332,-77.04177,2017-07-04 04:00:00+00:00,339.0,11024632,CHAMPLAIN ST NW,11021842,36.998960499999995
82759,2,0,1,38.911124,-77.021919,398098.94,138140.32,0,38.911095,-77.02188699999999,2019-09-24 04:00:00+00:00,,11000702,7TH ST NW,11000702,4.21
95172,1,0,1,38.905231,-77.043871,396194.781,137486.859,0,38.905601000000004,-77.04378299999999,2018-04-25 04:00:00+00:00,-9.0,47009772,,,-999.0
114211,1,0,1,38.903023,-77.040196,396513.393,137241.654,0,38.902908000000004,-77.040269,2019-07-23 04:00:00+00:00,,47045592,CONNECTICUT AVE NW & K ST NW & K ST NW Service Rd,11025152,83.21
195043,1,0,1,38.900209999999994,-77.009727,399156.231,136928.60199999998,0,38.900457,-77.009287,2017-01-24 05:00:00+00:00,3950.0,11042442,H ST NW & NORTH CAPITOL ST BN,11042442,33.79
206468,1,0,1,38.91975,-77.021316,398151.476,139097.84900000002,0,38.919971000000004,-77.02185300000001,2018-07-28 04:00:00+00:00,-9.0,47041142,BRYANT ST NW,11018722,43.3319041
212523,1,0,1,38.901326,-77.029623,397430.42299999995,137052.878,0,38.901326,-77.029623,2017-03-09 05:00:00+00:00,7121.0,11001302,I ST NW,11047772,0.027509199999999998
