,hull,cluster,primaryStreet,secondaryStreet,primaryFacilityType,secondaryFacilityType,primaryStreetSegId,secondaryStreetSegId,totalAccidents,clusterArea,shape
0,<scipy.spatial.qhull.ConvexHull object at 0x12ea992d0>,3,7TH,5TH,Existing Bike Lane,None,12493.0,None,49,17.48424399998424,"[[-77.023966, 38.899695], [-77.021843, 38.898857], [-77.017657, 38.902272], [-77.017657, 38.902275], [-77.018362, 38.903727], [-77.019593, 38.904167], [-77.019898, 38.904163], [-77.02143199999998, 38.90331], [-77.021919, 38.902939], [-77.023965, 38.89981], [-77.023966, 38.899695]]"
1,<scipy.spatial.qhull.ConvexHull object at 0x12eae09d0>,0,14TH,IRVING,Existing Bike Lane,None,763.0,None,36,8.488437999982382,"[[-77.034638, 38.928684], [-77.03246800000002, 38.927433], [-77.031975, 38.929157], [-77.032205, 38.932173], [-77.032432, 38.932482], [-77.033063, 38.932247], [-77.033917, 38.930986], [-77.034638, 38.928684]]"
2,<scipy.spatial.qhull.ConvexHull object at 0x12ea99a50>,11,1ST,1ST,Cycle Track,Cycle Track,1292.0,297.0,18,2.077987000024997,"[[-77.005475, 38.902516], [-77.005921, 38.904688], [-77.006293, 38.903731], [-77.00664300000003, 38.902516], [-77.006282, 38.90123], [-77.005475, 38.902516]]"
3,<scipy.spatial.qhull.ConvexHull object at 0x12e0ee050>,9,MASSACHUSETTS,CONNECTICUT,None,None,None,None,17,3.8638910000191258,"[[-77.045375, 38.908991], [-77.044504, 38.908227], [-77.042698, 38.908623], [-77.042716, 38.90939], [-77.044076, 38.910487], [-77.045141, 38.909643], [-77.045375, 38.908991]]"
4,<scipy.spatial.qhull.ConvexHull object at 0x12eae0b50>,1,29TH,M,None,None,None,None,21,2.707942000046976,"[[-77.056732, 38.904754], [-77.057025, 38.90541500000001], [-77.059538, 38.90521500000001], [-77.060461, 38.904774], [-77.058084, 38.904216], [-77.056732, 38.904754]]"
5,<scipy.spatial.qhull.ConvexHull object at 0x12eafb0d0>,5,18TH,COLUMBIA,Shared Lane,Existing Bike Lane,11932.0,12659.0,37,9.1393130000465,"[[-77.04334399999998, 38.923652], [-77.043767, 38.922329], [-77.043542, 38.921485], [-77.04186700000002, 38.9192], [-77.041286, 38.920094], [-77.04079399999998, 38.923925], [-77.04334399999998, 38.923652]]"
6,<scipy.spatial.qhull.ConvexHull object at 0x12eae0a90>,4,P,15TH,None,Cycle Track,None,5557.0,27,6.5758355000139375,"[[-77.034924, 38.910386], [-77.035638, 38.908166], [-77.03543, 38.906858], [-77.03456700000002, 38.9071], [-77.034302, 38.907243], [-77.033102, 38.909086], [-77.033064, 38.909652], [-77.033292, 38.910055], [-77.03455600000002, 38.911127], [-77.034924, 38.910386]]"
7,<scipy.spatial.qhull.ConvexHull object at 0x12eae0f50>,10,11TH,10TH,Existing Bike Lane,Existing Bike Lane,6029.0,12655.0,22,5.84407200003003,"[[-77.025887, 38.90417100000001], [-77.027036, 38.906114], [-77.02788000000002, 38.906132], [-77.028349, 38.905647], [-77.02858, 38.905046], [-77.028083, 38.903664], [-77.027039, 38.902774], [-77.025984, 38.90354], [-77.025887, 38.90417100000001]]"
8,<scipy.spatial.qhull.ConvexHull object at 0x12eae0f10>,6,16TH,V,None,Existing Bike Lane,None,1841.0,28,7.971774999999311,"[[-77.038595, 38.916287], [-77.03737199999998, 38.914944], [-77.036574, 38.915289], [-77.035569, 38.917002], [-77.035787, 38.918489], [-77.0365, 38.919273], [-77.038533, 38.917119], [-77.038595, 38.916287]]"
9,<scipy.spatial.qhull.ConvexHull object at 0x12eae0fd0>,2,14TH,14TH,Existing Bike Lane,Existing Bike Lane,8575.0,9137.0,33,9.434307000001567,"[[-77.033796, 38.91598], [-77.031953, 38.914572], [-77.030783, 38.915397], [-77.029945, 38.91659], [-77.031853, 38.918112], [-77.032591, 38.918681], [-77.033552, 38.918115], [-77.033796, 38.91598]]"
10,<scipy.spatial.qhull.ConvexHull object at 0x12eae00d0>,8,7TH,GEORGIA,Existing Bike Lane,Bus/Bike Lane,2329.0,12158.0,21,4.483600499980776,"[[-77.024221, 38.91699600000001], [-77.02294499999998, 38.914288], [-77.022416, 38.914462], [-77.021847, 38.914775], [-77.021668, 38.916164], [-77.021715, 38.916215], [-77.02294599999998, 38.917084], [-77.023945, 38.917253], [-77.024221, 38.91699600000001]]"
11,<scipy.spatial.qhull.ConvexHull object at 0x12eae0b10>,7,L,L,Cycle Track,Cycle Track,5964.0,8858.0,27,6.439279999948604,"[[-77.037903, 38.902996], [-77.038505, 38.904757], [-77.040276, 38.9042], [-77.04034899999998, 38.903742], [-77.040587, 38.902132], [-77.04019699999998, 38.901822], [-77.039447, 38.901321], [-77.03851800000002, 38.901723], [-77.037903, 38.902996]]"
