,hull,cluster,primaryStreet,secondaryStreet,primaryFacilityType,secondaryFacilityType,primaryStreetSegId,secondaryStreetSegId,totalAccidents,clusterArea,shape
0,<scipy.spatial.qhull.ConvexHull object at 0x12ea680d0>,1,18TH,COLUMBIA,Shared Lane,Existing Bike Lane,11932.0,5292.0,31,6.186852499934099,"[[-77.04276999999998, 38.923398], [-77.043767, 38.922329], [-77.043542, 38.921485], [-77.04180600000002, 38.919973], [-77.04140600000002, 38.920469], [-77.04100600000002, 38.923243], [-77.04276999999998, 38.923398]]"
1,<scipy.spatial.qhull.ConvexHull object at 0x12ea68d10>,0,14TH,14TH,Existing Bike Lane,Existing Bike Lane,8575.0,9137.0,34,9.849336000010553,"[[-77.033066, 38.918114], [-77.033796, 38.91598], [-77.033072, 38.914339], [-77.032207, 38.914093], [-77.030783, 38.915397], [-77.029945, 38.91659], [-77.031853, 38.918112], [-77.033066, 38.918114]]"
2,<scipy.spatial.qhull.ConvexHull object at 0x12ea68c10>,3,7TH,H,Existing Bike Lane,None,12493.0,None,24,3.5729474999967734,"[[-77.021916, 38.899352], [-77.021006, 38.90155], [-77.021915, 38.902116], [-77.023246, 38.900873], [-77.022948, 38.899814], [-77.021916, 38.899352]]"
3,<scipy.spatial.qhull.ConvexHull object at 0x12eb0ef10>,2,L,17TH,Cycle Track,None,5964.0,None,24,4.631516499978574,"[[-77.040047, 38.903802], [-77.040587, 38.902132], [-77.04019699999998, 38.901822], [-77.039447, 38.901321], [-77.03851800000002, 38.901723], [-77.037903, 38.902996], [-77.03850899999998, 38.903743], [-77.040047, 38.903802]]"
